"Private debt, loans and debt securities (Percent of GDP)",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Niger,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.600292969,5.857210914,7.828474492,8.25895792,10.01562312,11.8633879,9.905805782,9.473809132,12.24478258,10.68132668,9.603084442,9.255164146,10.07060035,11.9591745,18.46687674,19.05167411,13.09680996,12.50792068,16.6605066,19.27268574,19.09743713,19.75333228,19.06937152,19.55591918,19.26755425,17.76114648,19.63622684,18.32279987,17.89674046,14.71602318,13.9694471,13.05565887,12.96682826,12.04426662,10.64726751,5.860245083,5.64779638,4.266791325,5.077030325,4.900529987,6.190777954,5.902143139,4.403641296,4.569439182,4.340939338,3.826515027,3.751566143,6.968051545,7.962040673,8.800236581,8.928791981,9.778993191,9.860429143,10.35367375,10.58844696,11.16097887,11.41156767,11.29645001,10.08947794,11.06350464,11.47963116,12.69686903,12.39179021,10.9524321
North Macedonia ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,34.96587101,48.37556833,60.36604157,71.1606805,75.2452807,76.42290992,77.65149033,82.82727405,82.19719553,85.18676204,88.33621691,90.70951506,91.56199378,91.57122786,92.80824868,97.49691543,98.26290481,99.13827527,97.96158465
Norway,no data,no data,no data,118.981355,119.2777985,116.7606664,106.2702538,105.4245316,109.9502377,111.2329565,117.2004073,118.9888008,119.1782625,118.182473,116.1591911,111.8816758,114.3437744,113.2757876,115.3602174,120.1601862,114.9288586,115.3324532,117.3948231,116.0873877,112.7683816,119.7252696,124.33401,134.040538,133.8081439,130.2430323,124.3801822,122.1745527,130.0508254,131.9413062,139.3586397,142.9315685,161.1382821,169.0616263,175.4101891,175.3642556,170.7812904,158.887491,164.3636091,156.0759878,146.6131249,142.0929897,139.3523869,150.4776841,165.253166,164.2290661,156.3084608,164.0005898,173.6268696,176.3777836,181.5671517,180.9205433,182.4658228,200.7082529,214.7283709,224.2472062,224.4616944,217.288266,224.4393468,222.2256487,227.9407434,248.2319724,254.9971037,243.4904836,232.6850602,246.5817296,276.758932,237.5930693,201.4812924,229.2078749
Poland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,28.16871561,26.42853875,23.03857818,22.14324733,25.8514642,27.35759107,33.67742527,36.87570893,39.60610591,42.34056064,48.95348381,47.82446977,42.76161555,43.31154299,49.95065602,56.85182274,69.849673,69.69124822,73.04943925,77.14453688,77.36008319,79.83076155,82.6976036,83.95794738,86.95379556,82.14403513,81.3936849,78.75422582,80.5551986,75.73448142,67.0351266,60.61587271
Portugal,45.45760261,43.66679675,43.98786157,42.07896174,45.49884738,49.67368337,51.36206176,56.20292789,61.2895935,59.75762879,64.3306261,59.86269543,64.67939012,67.68980342,72.9972589,75.23053483,78.97018724,75.00968581,79.82422252,88.66179968,88.85118877,98.04414324,108.2532197,119.6138932,117.0101049,119.1634549,120.8498969,116.9737885,115.233925,112.2567184,111.7985288,119.8159089,130.1944845,135.452963,133.973211,118.029568,102.1273848,92.90862729,88.10377442,83.50096746,76.53674717,81.89929547,85.43803481,94.81542646,96.47043422,93.4216645,102.2791346,106.1341198,118.9070114,131.2095904,142.7525708,154.3515711,160.2941197,167.5714976,176.6376527,180.8641543,184.2393017,193.9009616,206.2882322,215.388641,217.9941295,223.2012957,231.600232,220.1407336,208.2457642,196.7011883,184.3006963,176.7232074,167.0606216,160.8883884,176.6192613,169.380426,153.5143263,138.0905753
Saint Lucia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,35.16271902,30.89214113,33.66682175,34.30750379,32.78067504,35.60076319,35.28625255,39.83589972,39.10853016,35.10030068,32.88216622,30.11797954,30.86265106,34.63384309,39.54534991,36.99532336,37.68325701,37.40204592,43.65205421,44.68393964,45.98490637,50.3322397,53.88125909,53.15816277,56.04821757,58.88028088,64.03219356,63.97647487,56.23475319,57.3404674,62.57064203,69.74203185,86.01979899,89.56846689,93.63571861,90.84824075,88.14979927,92.84927856,89.38869542,79.35748613,70.90516055,64.04534523,58.87367509,55.90268761,53.95976897,78.51797359,62.98703583,51.03618742,50.6178067
Saint Vincent and the Grenadines,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.63537848,21.03947489,24.92982121,27.05521659,26.2170172,28.33497233,29.5231693,25.31563311,27.36265361,23.17083569,25.27888816,23.06543341,25.80247652,27.23511274,30.31580065,29.15307373,32.12049704,31.88772114,31.85985827,33.78287999,37.66022794,41.26172426,44.09599381,44.64920568,47.89195493,51.24287457,48.5293607,48.09423593,46.37664112,43.31809831,43.31345777,44.61127552,46.2682263,46.40558407,48.55204943,49.00963673,50.19524721,51.49668556,49.75579181,49.25441114,49.46086084,48.05936743,46.70711474,44.43159449,43.6127963,47.51779875,46.22413724,41.18967408,39.30670155
Samoa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.260200989,4.141688306,5.702880845,4.976464219,4.721876338,4.181752977,4.293804025,4.839791168,5.150594093,7.503725711,5.613489729,7.152030997,6.585273047,8.665693162,9.259779348,12.18075992,10.54366372,9.729744916,9.732854168,9.606463184,9.12809879,9.244969846,9.451827737,10.61235026,12.42386819,13.90642646,13.19805287,13.99251257,14.95259625,14.91595044,15.97764868,18.88264588,15.76494841,18.65624389,19.56075025,20.61741577,25.41258375,28.89625584,29.21209833,30.38409794,30.43459316,31.44430892,35.02914399,38.45249513,36.57744362,35.52198355,35.16715659,37.89127116,39.41539507,40.08222927,39.68919826,42.79059233,42.21030489,44.64023947,45.31666095,46.98747159,47.44869781,48.98083934,53.73708769,53.0566971,44.12750692
Senegal,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.01748853,11.51393317,12.49962031,12.10175466,12.57421367,12.83020092,11.68944409,10.38282211,11.94791552,12.76002257,12.37525574,12.5858037,13.27427612,17.255951,20.2843587,17.08590355,17.86468211,18.84633851,24.98628654,25.20725765,23.96078183,24.72194926,22.88838279,22.93169751,20.81298047,19.60087541,17.75562297,17.52040118,19.20877083,18.62324602,17.42725194,16.52483656,17.36480201,17.48883029,10.86964949,9.68022148,10.44076124,10.23790525,9.505230836,9.744563699,11.87603726,11.19453708,11.84778981,12.98419499,14.24990336,15.52186597,15.65983038,16.04907707,18.72939288,19.26778749,21.16290053,23.70812569,24.25352066,26.1211625,27.15224257,27.13820214,27.60526285,29.47436356,29.50539287,29.47603699,29.30046096,29.81109544,32.21601868,31.11632781
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,66.46549674,60.77439091,59.20298329,62.8713706,59.1043784,47.34942042,46.80872733,50.85039982,46.72958932,46.99968814,49.05666357,52.24630288,61.02125598,65.23089932,70.25532214,67.44826583,71.79483965,75.16497124,79.09019395,84.15982796,84.83476025,93.98585617,96.59713783,95.94401984,96.99140947,101.1211367,99.59010261,99.22432171,90.46125485
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,38.84082669,25.87355799,28.62096184,33.53339719,41.32693726,41.61739321,41.9741776,49.09741222,54.83689926,59.70797966,63.25510576,65.5959777,69.35849734,73.98238032,83.99539732,89.53492806,104.1897729,114.7187403,123.8153293,124.9508441,124.6812472,123.697008,117.6373771,107.1605083,95.44302168,88.02490412,82.49227529,78.43047499,74.58873996,75.42794224,72.34112554,71.50521233,65.38795618
Solomon Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.196074789,9.12336042,11.42711288,12.68779212,11.98433195,9.876904357,12.91915272,19.21430257,20.08010627,17.7795144,19.10338946,24.00360962,15.74297157,12.82823634,9.901237001,9.64463208,8.765267311,8.330161106,7.787047862,7.974981233,8.729392878,8.843385844,9.936671625,7.99105216,8.213378032,8.944706271,8.710414849,11.50561888,15.98472293,21.19915858,23.4832738,20.56976928,17.02703117,15.16291932,14.51752954,15.51131936,17.22605115,19.12985304,20.24318719,20.35541346,19.10171338,19.64667313,20.67741948,21.20711805,20.43732448,19.98281381
South Africa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,46.91784352,45.52989667,45.1246673,46.48915797,48.75263206,50.24268314,49.34050669,51.51169866,56.98092642,55.83141183,56.05046886,54.96677374,53.76805376,52.67426838,51.16509981,48.99270607,53.65744985,55.11466289,57.21355846,60.08217242,64.04190111,56.30241042,53.42927939,55.83735463,55.6679193,55.70956667,55.21621006,53.14102384,50.25280981,51.96150375,52.91145784,55.18506592,57.29298975,62.10742634,61.0521881,58.5256633,62.1440536,54.39754711,57.82780316,58.21125577,62.55846489,71.43075845,76.14570722,78.58020524,74.96139364,72.21287513,70.75722104,73.01741119,73.48216979,73.23880051,75.82381713,74.0064775,72.82520488,72.00377014,72.47256857,73.2351207,65.93267591,67.19323185,65.23466068
Spain,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,70.86993429,72.4644392,75.60902164,79.35444038,80.38521913,83.37561591,85.05651723,80.33904023,75.30253528,75.04772887,77.41882044,81.04615883,82.23566295,81.42543988,79.01275979,75.0065832,70.65095936,69.33412638,72.4387116,75.34868222,75.87039454,77.72574757,78.1836787,78.2616138,74.76614484,79.86872609,79.5020309,82.78535795,88.77328961,103.7799752,117.9301356,126.8414085,133.3445816,143.259045,156.5816996,173.5007898,194.5667359,208.8945107,213.6480252,222.0338493,223.1042246,218.5983775,210.5364665,201.0314415,188.6176319,176.3260823,167.8479421,158.780931,152.9395946,148.6805561,168.6811357,159.1733213,141.5584557,125.4715269
Sweden,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,104.9912655,107.3594002,111.5800079,111.8980761,112.238468,113.4956939,116.2465216,122.7377096,120.5370378,113.4837794,112.6576278,113.8286428,114.2876493,112.7975705,106.6374272,104.7681477,107.0289124,106.8212383,106.420584,101.2493179,103.1003178,105.9805968,104.7103944,105.0795306,106.6996715,115.7097829,124.8998918,136.5403247,147.8103174,154.8897986,145.7898229,151.7096321,151.3999087,141.5897596,132.229792,130.8297325,137.230067,141.9103296,147.3197398,154.2799359,161.9199353,161.1302481,158.1599415,158.6097758,167.1202851,141.1400904,161.6200974,188.0498347,201.2101807,189.319947,192.8902587,195.8902093,210.129945,202.75,212.1,212.109952,218.5998109,215.7001787,225.1500446,238.9500948,242.2300883,239.8999598,211.1401342
Switzerland,131.0282102,128.0374211,126.7132984,126.8963727,128.3166833,127.6322753,128.3681254,126.6609055,129.4048739,132.4452491,135.8218152,137.3889035,137.3171258,135.746278,137.6788803,139.5853528,140.0865048,142.4088197,148.299079,156.177042,154.5276895,148.707485,144.7808806,141.3538498,119.40088,131.1012875,139.9601825,148.9781146,154.9613949,158.0014492,158.0204321,155.7901906,155.7045645,161.0514344,160.8202866,162.0915848,166.8394713,174.1895758,185.6653183,196.6034016,196.6197978,195.6196792,195.6136201,190.8302287,190.6781265,193.1988712,196.478152,195.3768758,191.5900689,199.7699379,191.2789634,186.7958142,187.9558856,195.7154992,194.4086317,195.6794334,193.1500302,201.3332234,198.5835017,214.54233,214.5826786,221.5159217,229.1349942,230.0655123,229.9194905,234.0539794,241.1124656,251.1644757,244.4663395,266.0444871,276.7903064,279.4475921,270.4067024,264.5763208
S?o Tom‚ and Pr¡ncipe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.844664579,2.471595582,2.433887563,3.859188543,3.884343044,3.741544899,3.984665926,5.503122396,9.756897733,16.30631009,23.5763669,26.98034423,30.35978853,26.43532831,31.91678465,36.86395039,38.27018415,38.86072248,33.77860728,29.08967848,28.84155818,26.74942519,25.04360864,21.34863647,19.46326118,17.28979827,15.15341978,10.56847567,6.402291235
Tajikistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.69757628,10.94307865,14.04999378,14.8279793,12.89292427,12.03817187,4.344133997,6.370871572,7.25390602,12.04487033,13.29793536,12.19623019,12.05166467,13.00906132,11.46416969,16.1051675,19.39998349,20.49665109,15.33697656,10.05130305,9.277172077,9.064908743,10.06319002,9.390045029,9.773984199,11.72621941
Thailand,no data,no data,no data,no data,no data,no data,no data,16.7585019,18.68694234,19.56731506,20.50110205,21.6554084,23.48851906,22.69302974,24.91639546,27.52988099,27.61917281,28.63178806,30.04097756,31.8382179,36.1837354,38.34990801,39.21396935,43.55334238,44.99663426,49.45028962,50.12572607,55.58437558,60.41404631,62.4940463,59.84505936,61.11066416,65.5146724,80.27066831,87.08570848,89.48509257,88.96830289,93.8653355,98.98290285,108.7103545,127.5352811,140.0761605,148.8716623,161.4742298,186.3842303,206.1702659,217.5196676,249.9914443,227.2279819,193.1221719,160.8647447,143.5464839,146.7147857,137.8339934,141.0146727,139.6584188,133.6538127,128.2299254,132.5138466,136.7271798,133.7865286,144.8844538,150.0279834,156.5478099,160.7899864,164.2881133,161.6660054,157.8602131,158.8337702,159.5072915,180.9146641,184.2661177,178.7121314,178.1124613
Timor-Leste,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.091468652,5.162792941,19.86110822,22.87464461,24.45759448,18.30398959,15.21827355,13.54845039,12.04103198,12.16616132,13.05001858,12.65788859,12.77683238,12.92347465,12.27424754,15.75904268,15.42624321,12.59288858,13.26350336,8.245988758,12.316812,20.22648908
Togo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.096580378,6.105771661,5.848786316,6.041762482,5.739675434,3.53427305,3.705661891,4.37090655,6.056648545,5.379658114,6.573497338,6.646288535,6.510915147,8.83016775,9.14617919,11.8478682,13.91785802,14.64046268,14.92222516,15.12980265,15.42034502,13.95558801,15.27605145,13.44635225,13.44581323,12.27432451,14.55497702,15.42378661,14.45908466,13.15092197,13.30259282,14.67951022,14.73767271,16.65688442,10.95314217,11.81406624,11.34375028,10.77445468,11.77610019,10.19239226,10.46367148,9.502606358,8.495358721,10.51467358,9.662583292,10.46230595,11.48599179,15.82119398,13.44282152,13.90002052,15.49143713,19.82927803,21.67909512,27.01408108,25.27316919,28.96359043,30.23704658,29.45233611,27.68859237,27.42482255,27.07774133,26.71703779,28.13529037,28.05956361
Tonga,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.136569143,2.248468542,7.085286598,8.694521449,8.724744993,11.48162209,11.67308393,14.47459482,17.47882286,16.29573878,16.91850715,20.03275695,19.47088914,23.17977926,28.53540127,30.5051482,29.72449156,25.16616197,23.68460213,24.07704531,30.2163748,35.38665937,35.47261939,40.27079544,42.12685753,37.7282004,40.37347528,41.78857179,43.97067381,44.57368951,40.53961416,52.69367793,48.13009508,54.9942605,52.17462784,47.81194286,39.65572777,32.81658612,33.71931911,33.86992416,34.251934,37.24193586,40.99608302,41.80453153,43.597995,42.97073977,43.09949767,40.89590465,41.45845933,40.38383449
"Trkiye, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,55.68850548,60.95925182,62.47799623,71.33728901,74.44714698,79.22617469,84.40768399,83.75919199,82.32663575,79.4561382,88.83296723,88.62158219,65.5876617,58.87630499
Uganda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.958769467,4.982260319,5.867995487,5.726505928,6.368114007,6.525155049,7.210388253,6.991429393,5.222310727,5.72702139,5.191089324,4.867878162,4.761557378,5.115648459,5.346966269,4.181629819,3.78032012,2.75349108,2.243642577,1.534298204,2.181052581,2.948538249,2.191635155,2.473295139,1.304454959,1.761813736,1.68053131,1.623008307,1.607206269,1.912548592,2.072637661,2.257190646,2.542530394,3.240397359,3.120145019,3.394801499,4.005692441,3.514149796,4.161610162,4.322230113,4.16591844,4.956999539,5.513315024,6.006950817,6.009726967,6.128868207,7.040995853,7.08866447,8.755886911,8.126640725,10.10381656,10.59116095,10.68094529,10.61345908,11.23890859,12.01914035,12.15727895,11.7104101,11.75543229,11.96474777,12.87174105,12.82142838,12.40447576,12.39501026
Ukraine,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.841247326,7.499914365,9.288634814,11.63779915,14.34944166,16.51279855,19.65453073,26.12762061,34.40785954,39.15857797,47.50347632,62.6460027,78.8047984,105.3860121,110.1845181,97.69016297,91.10599937,91.2521289,95.7376915,118.2276486,107.5414326,94.92847256,77.2439899,66.10947664,53.89073409,55.83706833,44.6164526,54.69749273,44.99547634
United Kingdom,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,48.92582032,52.2158663,55.37175788,58.50178348,59.26651411,58.07205954,57.12625675,57.81128576,57.00972818,64.79933997,64.48865799,62.45502901,57.95933036,58.90747663,56.34565359,55.79515688,55.87222431,56.81386314,60.84016817,65.56869176,68.42807822,75.96660669,77.34630876,84.66233766,88.45069232,98.38774985,107.0071311,114.6794038,114.7392489,115.8001242,114.3111365,110.8640419,111.991266,108.6997373,112.0282566,120.0274211,128.7143613,136.0111088,144.3861325,154.3885167,154.5873353,158.1503466,165.6500201,172.1943999,175.9869795,185.2773594,185.222643,177.0466376,172.4743924,173.1275621,167.4591506,159.9682472,157.7680306,163.301492,163.7263131,158.546841,156.9877807,176.6841329,163.8513608,148.4542603,140.6155228
United States,55.31463443,53.65722791,56.55550468,58.01653226,62.57355806,65.34024299,68.08606775,69.86960304,73.7232155,74.92356751,77.8811084,81.02820209,82.02451312,85.31688325,86.94066332,88.12374608,87.44557723,90.54861793,90.03142306,90.75079258,92.17593818,93.27562877,95.3346611,96.80455025,99.17235925,96.47794672,94.98339237,97.17285195,98.52872885,100.6308698,101.4207344,99.4073947,101.9379149,103.43242,106.5813035,113.1103941,119.3855392,122.6536224,124.9155674,125.247093,125.0699927,123.1124734,119.2248853,118.8458202,119.3754846,121.4695507,122.3489045,124.0791368,129.3986147,133.9528147,136.7430336,141.4130227,145.6229699,149.3516753,153.2361614,157.5732407,164.087698,170.8570738,170.7577937,169.5430669,160.6936021,156.0344173,152.6526783,151.7045971,150.6971356,150.9386718,152.6504794,154.3540467,153.6220153,153.3912292,164.7954959,160.5014824,156.1172851,150.1455086
Vanuatu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,51.00726737,46.70620397,51.01286671,35.53666647,31.97004255,31.37538449,29.52510198,29.93815614,28.05237826,27.34484802,29.52432642,29.91847181,30.09581556,30.23679691,33.27187844,29.8628806,35.49736864,35.06675449,33.54213363,32.46351182,33.54830711,30.30960586,31.70699913,35.14549186,30.86544163,32.80468783,36.28949471,37.88790371,39.09753695,42.98087976,41.86424678,43.21541646,54.73878857,64.58381523,67.22767247,68.99912778,73.40434337,72.39700803,74.90147126,71.39495713,67.87669968,63.93439071,61.01484936,57.88222429,59.13605962,59.87438219,55.76001897,53.10360924
Zambia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.307448307,10.59974582,12.37657099,10.28678484,10.31152813,14.61898084,14.69035695,13.30374146,13.43443831,22.67725805,21.58439139,17.03129746,15.41583743,11.88723876,12.62767304,12.82498146,16.21392766,17.87771662,17.40072536,10.23169873,7.857982461,7.585046907,7.559256476,8.343370213,10.14062581,7.301191726,6.425267456,4.646483056,4.212163962,5.505762638,7.22813906,7.985904761,6.761559636,5.906687446,6.362073627,7.301835017,6.300764619,5.259811605,5.802427209,6.878708401,6.483073144,8.040360954,9.572418972,12.15614986,9.920979331,9.105573418,9.970395724,11.89138441,11.58687401,13.28646922,15.62865371,12.00545546,11.09915785,11.58576254,12.43277451,12.17888119,8.44018895,10.1685993,12.4739636
Zimbabwe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.007725797,no data,1.631430554,0.690890724,3.992056061,10.48467884,11.99341673,12.13666463,15.70636724,19.4247209,25.07505531,12.37787307,15.28035698,18.70318763,21.80480661,21.22171031,24.79000928,21.54409091,26.58099655,24.81541915,16.16158328,21.56249904,27.72415723,84.81197208,53.16815667,17.04778478,14.94879881,no data,no data,no data,7.159107402,13.54362895,18.98323589,20.14062022,18.7319126,19.21037138,18.31568566,17.09856236,16.8751082,5.830264969,5.237706363,5.415074173,6.988542902,8.78568463,8.837762016
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"?IMF, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
