Central Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Canada,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,51.21545476,56.09164217,59.25190274,62.68832735,63.28607577,64.37680145,64.69434798,61.64791835,58.88832893,53.070014,46.32812903,46.14540476,43.05676329,40.59694903,36.67931642,36.23604555,33.79110306,29.90426968,36.24677965,43.66983722,44.07135929,44.95471694,45.27597128,42.58900132,40.57405441,43.16631339,42.87800507,41.28240093,39.64936764,39.08711369,60.60547789,56.59794933,50.50750207,49.91844703
Central African Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,20.26771459,20.38272083,20.53368918,24.71875824,26.61518767,25.13617402,25.38360952,26.49299932,24.29567716,20.35866437,30.8964796,35.06107303,36.41551999,40.36487764,42.05494722,38.92642885,40.96400998,48.81113954,48.75617309,50.88776097,44.56627451,55.77612786,57.41696918,68.22038858,103.4440857,83.82878106,92.98668472,88.46282794,85.32139873,84.16182509,94.67912374,103.1149494,98.51825602,95.88629038,99.72351847,102.9624065,46.74996424,47.85079642,35.76599444,20.3003043,19.8833811,19.68629066,31.53279477,51.78958752,62.23995092,59.7904141,53.8873002,50.27496158,50.03223777,48.15354557,44.39816636,48.52510311,51.03611978,57.55837571
Chad,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.34812318,11.55385177,8.306906786,8.991063586,12.02925345,15.77492232,17.95399423,21.94417448,23.93203853,30.60758082,29.95783439,22.67309619,19.82948643,19.44815906,16.47773426,15.19185785,15.14470058,17.64200686,17.43342186,18.71205619,20.39431686,24.76972683,28.20470315,35.55836005,41.91542942,39.15257653,38.5707297,39.33548913,33.03387001,42.54162128,49.89419704,41.42787493,39.94769716,32.77308136,23.95085789,20.904416,19.02244501,15.98656452,14.60472319,22.59295325,22.50557403,22.93497433,22.07260219,23.52445483,29.39984951,32.1031458,38.1012297,36.76555221,33.25828881,38.00757191,41.15543036,42.44880475,34.53965428,32.74101519
Chile,9.190538716,8.035533503,8.540794823,6.91284676,5.537709668,5.036000242,7.20744387,9.231344431,8.960130923,9.536439071,6.967929217,7.909399474,6.937655928,9.164509303,9.536134314,12.50609638,12.51726656,14.78065721,17.72524994,21.32170781,26.14047158,19.88000291,9.992812879,10.99585906,18.69031082,28.16353104,19.40397545,16.43278254,25.78148397,23.06839873,17.26423754,13.92099612,20.17192065,45.17808603,56.22721002,79.21685438,87.77137733,81.02481133,70.65866827,51.534284,49.90429895,43.94761757,35.86448274,32.34118303,28.85369237,22.14937798,16.80869966,14.3326243,14.59776164,15.96809374,15.49288517,14.34808353,15.04532969,12.57301785,10.31406551,7.039620295,5.022397527,3.901260343,4.915988582,5.844926168,8.607327438,11.12688905,11.93907307,12.7840642,15.01974805,17.37466028,21.1005045,23.6516389,25.79802758,28.32950531,32.38010064,36.42597043,37.79566466,39.41339585
Colombia,5.64402008,5.078534318,5.065104706,4.696828621,4.843675217,4.030533652,4.426157467,4.8866566,5.868144428,5.092880573,4.872707752,6.268712594,11.86372396,12.02636564,11.36310623,12.45139137,13.88394055,12.60900794,13.42484122,13.95129416,14.43847741,14.67888197,15.12698282,14.07299003,13.66569814,12.39846891,10.93123787,8.42253653,6.745231016,7.240852679,7.332486997,7.746476807,8.184676725,9.597089213,13.25347558,16.50505278,19.46581107,18.57498758,17.96057375,17.09462139,16.624575,14.82539946,16.45468903,14.31718632,12.34612915,8.796207277,9.256264216,11.7385059,13.68417992,20.30954374,26.44773961,31.0481249,37.10758349,36.6335031,34.96625272,32.70539691,31.0261878,27.21975733,26.132824,28.88084088,29.51877959,29.08909176,27.32837177,29.56935367,32.88504133,37.29930858,37.37581808,38.29219177,41.36218283,40.67864176,52.37701724,50.94821976,48.53281883,44.22256694
Comoros,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,150.2655697,142.9435498,136.771213,128.9344406,119.9770939,113.7681728,108.2440181,103.9741367,101.0983197,95.84362536,87.86997961,77.7798728,75.43258094,70.96074958,69.43703051,64.55017071,60.77292736,53.01917054,48.22213704,44.49779112,42.44646033,39.86459967,38.47897693,35.61557117,33.21703212,31.72957409,30.4586217,27.66820289,25.07315982,10.27714616,11.82349264,14.27407234,16.16157231,18.93443665,17.02187383,21.22883578,24.31549148,26.27578132,28.07262687,33.23202773
"Congo, Republic of ",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,35.05902722,36.49824871,33.75462024,32.869578,39.3642706,44.08845507,48.56499511,56.79257269,67.5343048,63.06074613,64.17061244,82.7639017,124.2533892,143.6424247,159.7837394,191.3127616,170.0659737,166.412963,161.2027892,151.66517,155.4470587,142.3059822,129.842222,148.4794459,231.1360582,226.322421,189.8200391,198.9871762,230.1818217,206.320832,145.0197886,180.0824742,163.5131711,185.3095807,122.591075,99.75153829,94.72486682,93.75744544,69.5980215,83.83552452,43.48701021,34.389938,30.19758088,33.93693309,42.32297044,74.1840971,84.63528699,88.47887262,71.223092,77.60470016,102.5136452,97.76442131,92.48317194,99.00951581
Costa Rica,29.38450899,25.63938619,21.47454652,19.52835188,16.05689063,15.79775281,15.29232112,16.23340266,14.23533921,17.06925518,16.11955952,20.30860615,19.68242013,21.79366665,22.71492711,24.07789233,24.74815782,26.67299683,27.69032711,25.671494,28.62077152,30.42156191,31.8388802,32.82298376,30.34965831,26.06884438,29.49306116,27.79594089,41.70648391,39.50790602,37.71776607,32.26475123,31.82813607,29.78596754,25.22600041,22.82695896,26.14050026,21.1844867,18.22486726,19.30918767,18.54377543,28.36464285,23.32180151,24.43369937,26.97427735,29.05867624,33.68545758,30.5590774,40.6908597,38.98383466,38.85015982,39.64388496,41.43784305,40.56577919,41.00162174,37.3208053,33.03683212,26.97525717,24.00712912,25.9948622,28.08448667,29.50363618,33.75306756,35.09092804,37.48029923,39.77484866,43.78136012,46.78176155,51.58430114,56.08208082,66.92993981,67.74325356,63.06791267,61.17348115
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,23.39903446,25.53971629,24.6196669,22.4355768,28.30261848,33.61131112,34.84390406,34.84124177,36.30794364,39.06619264,40.11209371,37.61580268,36.23526168,38.0934543,47.14399494,55.62164842,61.95728827,67.73615307,78.27609263,81.7219741,81.22759701,77.75117006,74.72139763,71.11378389,68.90901524,84.03279911,75.50212404,66.11378428,61.69225337
Cyprus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,86.92791951,89.05482224,94.01453217,95.51042015,97.12625843,97.85189983,91.67817701,84.88079262,77.32408888,89.09313857,92.46133292,102.8728831,119.0939308,145.9568524,152.1281038,149.6411057,142.9944882,131.735787,136.9723784,128.431639,153.2243386,134.5516616,119.0134355,112.0882075
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.3289877,11.42033128,12.47580351,10.30474155,10.85963438,12.62259903,14.00960416,15.83194659,21.50588998,24.33557712,26.47556962,26.34470498,25.55222013,25.28898595,25.17164641,25.95340922,30.94519412,34.64613173,37.25459546,41.52366204,41.85498687,39.42922836,37.62142251,35.73204877,33.93578977,32.38091647,30.95513458,38.93030305,43.5563638,45.74352465,no data
Côte d'Ivoire,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.23695783,15.02667457,15.24609902,16.20920505,17.02080392,17.10117933,19.82275855,23.40915385,27.60145961,33.01053599,34.74378352,44.12574301,56.37033962,61.41771326,no data,95.320464,91.545344,105.94874,102.95507,122.62309,132.10708,144.85113,140.44143,146.98177,173.87193,143.73085,141.47355,121.058,no data,78.01786324,73.98653865,71.17153572,62.9815481,56.38079237,56.71758125,58.16390074,57.47057218,53.53253768,51.23984571,46.47552306,45.61178123,50.02843393,24.6928079,24.62365879,26.70996084,29.17196455,31.11786381,32.59528749,35.31655222,37.21559827,46.3154899,50.16521066,56.63395408,58.06993781
Denmark,46.33902161,41.08527414,38.72507745,36.13877132,29.39541638,29.84094088,28.60745568,27.085488,26.14734987,23.1199454,19.92595483,16.40433185,15.08163549,13.47407983,10.75440372,7.866571008,6.096216009,5.819734383,5.293000034,4.75241405,4.806661101,5.017226873,5.284471606,4.961971186,4.560844554,4.337880045,7.549333458,10.79221444,19.4669231,26.31383333,34.10401349,44.05992405,56.55292835,67.96917508,70.44908546,68.5406778,66.19996119,63.27766314,61.42454338,59.87297165,61.43366251,62.28728057,66.74864439,78.38736152,75.53708042,74.28968927,72.48001882,67.81959099,62.79158203,59.49154303,53.59816898,50.65890111,50.24562638,48.36607039,45.71707076,38.28288197,31.75733834,27.06864208,31.23010652,36.43768259,38.16522597,41.0289606,39.97483908,38.54023238,38.41320637,33.50833548,30.75435203,29.33405078,27.47689515,26.50441051,34.74621183,28.51092192,22.77376676,22.2710017
Djibouti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,50.94208622,53.13360094,55.96656423,55.24841894,58.46401015,58.12870932,58.06061462,63.68337035,66.27149728,65.29758288,60.31288074,58.34622793,56.63967592,59.26177847,29.53165053,27.88358142,25.68182819,25.04965762,24.57338816,26.85642375,40.26048498,45.92330628,47.98978086,47.46231111,41.12465361,41.51600273,40.36137451,36.62208364,34.60978402
Dominica,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.58999322,13.35473899,16.66195693,10.66958139,11.99209144,12.36286237,28.53322207,33.06284634,38.05079656,47.01899166,51.36767338,51.07392421,49.74402847,43.90245433,no data,56.56130391,58.70521927,55.30140248,55.40600777,56.97560276,59.2814612,54.66487542,49.27542429,57.08962106,61.97803974,69.55305202,97.49029131,99.36035546,98.22007667,85.81775023,84.93506839,80.44679135,74.90017439,66.52739199,62.81045863,67.31573557,68.63574358,74.03196183,75.56919261,73.53398784,71.13316268,72.90686844,86.68659292,90.01221804,89.10684136,118.1506776,113.5708557,107.6121404,100.1025782
Dominican Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.8,12.6,13.7,22.6,23.5,15.2,16.4,14.8,15,17,18.4,20,21.2,24.2,24.4,22.8,23.2,23.5,25.2,26.3,38.9,35.3,31.9,31.9
Ecuador,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,59.34318739,55.70850407,60.28965018,69.37949612,65.28225006,54.32854719,54.3027272,47.30006104,50.44027127,74.92217035,66.54103933,52.23795248,46.27895456,42.34752628,37.84690916,33.37855972,27.10657353,25.77999686,20.78641974,15.54040032,18.18497186,17.32457364,20.13003971,22.56521115,27.25146248,31.61150091,36.44668549,41.23971965,42.99092585,no data,no data,no data,no data,no data
Egypt,no data,no data,no data,no data,16.01994547,19.2080103,27.02107665,26.15856032,no data,24.06310009,32.24731204,36.71575989,39.90985862,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
El Salvador,no data,5.055101172,5.490168782,6.090736346,5.252241954,4.622937956,5.561955367,6.40451218,6.743166233,6.531778971,6.387627702,7.552476541,no data,7.422836393,7.607899719,8.464302433,9.366334634,9.491216441,9.662562148,10.38283544,10.1303862,10.36047407,11.00933382,11.15183795,12.17686389,13.07863896,14.41889813,12.13385593,14.63095588,15.90598699,21.98853215,39.50349947,50.08688757,66.4197082,102.354609,112.0675644,92.8980016,96.3161152,84.66612456,84.93413427,55.73883339,57.51929673,52.61289108,41.55736296,36.97107244,32.49964462,32.33629482,28.62808669,26.1693916,28.3979621,30.51838237,35.08316283,40.20885646,42.57023988,44.0838161,43.92419721,43.95707968,41.49678898,41.40996104,50.29877932,49.88527168,48.14627838,51.34357921,49.1851197,49.62588748,49.66196267,49.57228637,48.74877848,48.22649982,48.48918182,62.46110238,58.41854565,54.82468768,54.10387934
Equatorial Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,146.2291317,221.0679042,260.6673553,259.2879106,257.9382617,183.757468,152.4651549,141.3178609,154.503718,187.0250152,157.0044751,169.4653682,136.8704982,152.5752675,215.973415,136.8744924,91.18550306,46.2614728,59.23316751,60.47790722,36.62746913,25.47707496,19.44671132,6.774541392,4.538396538,2.848871466,1.220132831,0.75386536,0.488085866,4.336992336,7.894111093,7.170424862,7.097239618,6.272055301,12.55993327,31.65670296,41.13941037,36.23513431,40.56865493,43.18944068,49.3855266,42.29310571,30.20217061,37.36893348
Eritrea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,40.77593201,57.06102147,64.51324109,111.1638335,no data,219.1016774,238.5657668,243.4377734,263.9872819,193.5117827,205.3709731,199.0463642,201.2797722,259.6666478,207.0542982,201.7865803,171.569321,171.5765315,232.4283521,204.4827943,271.4094734,251.2275674,290.3860343,267.0921645,260.3932899,no data,no data,no data,no data
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.326501017,2.913953918,3.470721936,3.132283216,2.781905749,2.251555328,2.054694069,1.402325299,1.75832693,3.680336488,3.362706989,3.290710399,10.90547417,11.05982937,11.31970254,10.97891221,10.93025074,9.996798641,9.319698274,9.71306235,18.4101416,17.84659551,18.92108942,19.98888607
Eswatini,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,22.30236431,19.77838241,18.89977649,20.20733797,15.38469497,15.44121604,13.98897741,13.69153499,31.24310603,30.80962301,27.22812717,24.30809806,29.23475236,28.72409649,29.71483898,45.53661645,43.99497586,36.13218587,27.47938896,26.77833389,20.39657484,20.14915998,16.55776677,15.18571422,13.37269145,12.51165568,11.60980605,12.6015017,15.47345201,16.69104845,18.15897835,21.7567928,17.13682937,17.48157729,15.02810546,13.5005617,14.58963196,16.11945258,14.59577739,10.4866612,14.09574416,14.68533686,14.76513436,15.00592317,13.86246207,15.7597577,20.0414654,22.18299127,26.89100599,31.48349605,39.55553296,37.8695992,42.15994444,39.22697193
Fiji,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.351026233,7.512244581,8.006684875,10.94257658,11.62831347,12.18257898,12.64417904,15.72287919,15.30739951,15.70750082,19.35654671,21.65807375,25.73080325,28.9698092,26.34774305,28.26650326,27.29258422,32.00039232,32.85298399,no data,36.15608455,36.39191622,42.21629287,44.2657707,47.61788356,48.36717485,48.79742076,54.13172401,36.63022478,32.70300131,36.9255844,41.03481392,43.38506703,44.85363953,44.53406085,43.98945821,49.20405359,46.0426157,47.46373487,51.50418934,51.84114957,48.64208038,47.65327011,45.84682352,44.50805128,43.04452256,43.64742511,42.22069984,44.80902183,48.76052641,69.5510339,85.9723935,84.13345284,79.60227939
Finland,12.87364555,7.105301617,7.503976567,8.357970354,8.155261333,7.528594162,8.038001725,7.216889378,7.152736399,6.934418825,5.350055893,4.817012921,6.259619784,7.705693913,7.54416341,8.519608105,9.072475936,8.259344159,8.133132854,6.757491177,5.664034302,4.814788628,3.7950379,2.416136359,1.666032669,3.057177482,2.740722775,4.30017236,7.719928187,7.89129687,8.256635592,8.791410721,10.78891457,12.24523959,12.05465625,12.57613451,12.98214855,13.86695399,12.42801678,10.1386028,9.978122011,16.4639409,33.22285391,48.24053764,51.26668062,51.25470578,51.90678174,49.30464682,44.09665156,41.57946989,45.1210038,43.43902979,42.62960818,45.14560228,44.93316872,42.13872376,40.21585106,35.99683544,34.71289218,44.12727583,50.11400903,51.93436297,57.6664992,60.55471537,64.45671034,68.33171701,68.023336,66.0434554,64.8431008,64.87713564,74.73848713,72.58481473,73.51197481,75.82504598
France,37.82937579,32.06309487,31.06265778,33.0187647,32.43070763,31.34137255,31.20143572,30.98417269,30.49726258,29.43897378,26.71923683,24.59045784,22.09122062,20.75183635,18.33023003,16.4451924,14.43370622,15.13749078,14.9450314,13.58041692,19.84304523,18.93272827,16.82415975,14.93156475,14.47275788,15.22755043,14.26165247,14.09704923,13.48086811,13.35523636,13.16851495,14.31642107,17.59087628,18.76740168,20.62498055,21.82539274,22.94725238,24.56312801,24.71981107,25.86764294,27.11461104,27.75751691,30.94409023,36.39077014,40.27307315,45.696525,48.01226321,49.31482615,50.50054664,50.43068268,49.28320117,49.19444481,51.30847339,54.43981845,54.35896489,55.00909845,52.18738891,52.05736339,56.24891758,68.08921816,69.3559327,70.76061858,73.18746512,76.0676261,77.49973425,78.14549515,79.02591627,79.92401319,80.82607254,81.34949865,93.23326001,92.34397858,92.41603542,92.30494809
Gabon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.77233115,15.46974856,19.89790486,26.60264632,33.60106715,35.78948878,46.38630046,63.35030583,75.25186183,67.45771403,33.5445254,26.78148905,25.52169279,22.43620529,24.22676654,31.81524138,35.75557379,73.69295003,72.2456302,72.84353555,57.89342634,64.52959952,61.55692418,60.87133857,93.6358524,85.2895482,74.41043513,71.61988203,92.67061576,77.45922343,72.49690696,80.97943722,81.07006157,70.24102863,60.3012686,41.70036555,34.88392399,39.23709944,20.05319151,25.99174899,21.2952134,21.42499727,21.44243625,31.11281073,34.06279755,44.7032096,64.19872241,62.88553597,61.07700522,59.77870957,78.15211535,68.43225732,65.58870035,72.11679298
"Gambia, The",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.099405647,5.399811251,6.262174997,8.981249447,14.54821381,13.5164609,19.1271095,27.28227035,37.25874928,42.9207823,47.87267874,56.2776709,69.50236145,64.00754433,82.25380979,73.03380008,66.90177012,67.95897495,58.76327673,71.01987642,63.47442828,67.30792503,68.81520959,71.43746315,68.81099845,72.15831351,70.16785329,73.25022937,75.2298671,93.87527871,91.69429175,81.30305866,82.59647144,87.34426724,38.02286101,39.52827727,38.86814254,42.94865155,49.24063858,49.49189457,58.24417272,71.08602119,69.36887657,80.94830872,86.97918687,83.59574987,82.96687357,85.88829,83.07489716,82.78826599,no data
Germany,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.550433434,8.298733855,8.86417165,8.492092615,8.228385079,8.276740191,9.809591815,9.868066436,8.55469443,7.806363192,7.189198843,7.290821867,7.089655966,7.60381588,10.6488231,11.45712695,12.37418812,13.4802282,14.21891532,15.20625713,17.17880637,18.69806593,19.69781635,20.21610246,20.66784858,20.6595051,21.16995104,21.67137349,21.07389018,23.25088776,22.77298524,24.84747894,27.06989017,28.81577437,35.46592702,37.2754999,37.7474441,38.26143505,39.06238468,38.22691303,36.41691292,37.00912598,38.8835081,39.75231158,41.29807587,41.17555805,39.52347423,40.05140409,44.41099385,52.14319139,50.00330418,50.6455373,49.53972291,47.7713216,45.33547244,43.56275162,41.6720332,39.65294389,37.774797,44.84759367,46.42247992,45.81039566,44.89165672
Ghana,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.179998842,21.20321658,17.81725484,17.48567347,16.88508643,19.63909259,19.75641404,18.04331472,16.56479679,15.480441,17.64422557,15.37938167,13.61934189,14.20832739,15.52994959,14.45111406,12.63713027,11.8653854,10.09376149,8.87959186,8.578764089,9.602730153,13.65451553,15.06600377,19.49920755,28.89847023,25.42076975,24.82077156,24.14681932,24.56177902,27.12057881,37.15531288,55.15510831,51.07688142,46.0473767,48.66597076,40.57177946,55.72978662,80.17038863,61.91948301,57.95988487,52.84728487,41.10736226,33.99258998,18.50880365,22.54859722,24.64368031,26.79168318,34.50710553,31.26432525,35.3513561,42.93008672,50.11081682,53.89573814,55.94237419,56.98390482,61.97616248,58.34676997,72.33742729,79.15904835,92.68680256,82.93647648
Greece,11.3195122,14.95558376,18.34261501,15.90850277,13.70705128,12.23079057,11.1732852,7.463687151,8.410447761,10.35487179,10.18155894,11.09696459,13.12777778,19.24005682,18.4556962,19.05450501,16.037,17.909764,19.33759591,21.28405253,18.82210097,19.00478978,20.12041352,16.55572155,17.47799437,18.17632151,20.80436022,23.23285277,23.65198711,23.13329486,24.59268515,28.77388791,29.63424153,33.95958813,40.50324804,48.24532317,48.86646784,54.34043872,59.05591882,61.98801506,75.83141584,77.1087174,82.78349221,93.74528335,99.24243444,100.8085772,103.2299406,99.87673499,97.34970374,96.54627782,98.53934199,95.75773126,101.6250379,99.38917268,104.3859097,108.117473,103.8354625,102.8661602,108.2979945,125.6763026,151.8294337,180.9951591,162.1915049,178.7136461,182.879257,182.1932098,187.0309386,185.8097922,199.9071329,194.1750578,226.6485734,213.959534,193.7251307,184.5293292
Grenada,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,124.074033,68.28692378,58.9661232,45.99555138,42.11627301,37.53127065,33.91328551,31.44290706,32.12095114,24.58720273,22.59095615,27.43390124,38.97132987,48.52100486,46.64432229,45.030384,43.80112144,44.90377758,44.5680618,39.93768184,46.1664336,46.87985961,40.06893222,45.2842648,45.68468299,43.081888,43.869086,41.42769893,40.27091683,34.48363667,41.6261354,44.60779155,79.089601,79.56185393,94.69361995,87.31234005,92.92346123,89.05623532,83.91306238,91.09436482,96.21638247,102.7819125,101.5010415,105.4368207,99.33988646,90.09998359,81.56846487,70.4028419,68.53625424,62.69972317,89.49279606,86.5865754,78.84284056,75.22064164
Guatemala,3.300807445,2.825196985,2.62418343,3.28801666,2.095897148,4.718497561,3.861315223,3.987624227,4.539236892,6.244804892,6.652335101,7.414312115,7.659708464,7.599629973,7.816355636,10.70473217,10.76950554,11.40696118,11.57548306,11.19495541,11.41610575,13.2196662,14.81976445,13.26196948,12.52166319,12.087378,13.21338642,12.85993199,13.16325109,12.71925026,15.38200171,22.08472238,35.73620576,42.92305995,48.44386727,61.24662548,51.10495591,51.23502532,45.82595273,45.61582913,47.25291236,34.34143498,30.06112921,26.67157422,23.69319612,21.00779549,19.21505374,18.45863932,18.95566998,21.98894368,20.64612812,21.10040455,18.75800677,21.31643102,21.47233256,20.77836938,21.11412035,20.99506858,19.81798789,23.151166,24.32971565,24.04403652,24.80271045,25.17966974,24.79268548,24.92010158,25.03499189,25.1537883,26.48332468,26.48708001,31.52482138,30.59918824,28.98310066,27.20794682
Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,71.60462118,70.85671919,62.00105174,68.91200917,71.28006551,66.53373628,67.67670757,67.86795551,75.93828659,92.25091303,91.4918237,90.4364842,82.61022789,81.57227595,86.86616818,97.91527999,95.22179807,60.80009561,58.46341683,61.33177848,71.14067942,53.84992349,26.86651348,33.96696209,35.15809778,44.38927484,43.00927616,41.88393708,39.26674414,38.57585405,47.79275979,42.71726162,40.17812817,40.75339666
Guinea-Bissau,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,73.9116804,111.7263487,141.4319117,124.5639084,117.2789101,88.85706849,85.29737146,112.3814015,105.4937692,103.3306289,117.3432449,118.9897935,152.6289026,145.1487782,217.1385959,204.4415746,197.4711815,183.3843597,201.9593245,203.6514243,190.4065885,163.9703178,148.8151713,148.2582054,61.72594494,45.61929982,47.38839461,49.64515323,60.35567391,56.5717901,59.30937277,51.94814385,59.23768316,65.30064088,77.74851951,78.95162394,80.8369397,79.37134261
Guyana,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.3317143,22.15610997,20.03027832,23.00377507,23.24619634,24.12685718,29.69484381,25.09652668,42.35628751,47.25247043,53.99405886,46.94240805,66.69331096,88.16326286,102.1985852,99.22926743,112.4746601,125.0246095,138.8661633,199.0571268,233.7836434,230.6512444,256.3807606,279.9743558,204.027245,262.9175645,243.6234288,305.2915859,265.2588435,316.1555068,279.9979675,236.1554149,210.6269969,146.9739353,128.296729,120.7550766,107.0449593,110.9896972,100.6329718,105.0783406,95.61711037,91.77002339,90.74093637,74.49823783,46.99265067,47.59764008,51.69145751,52.52018859,51.18882652,44.29723385,41.05414929,38.28419374,41.8253572,43.84413655,42.89350684,47.03291005,43.56193143,51.08197875,43.20998659,26.53110335,26.43126961
