Central Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Azerbaijan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.67294697,19.20911051,16.72123521,11.44257092,14.29077487,25.41373931,13.13324442,12.95432312,11.88518936,10.65891842,9.709979508,6.8546552,5.296648376,4.003317909,3.220765186,4.726182379,4.980865937,4.966863696,5.830601512,6.178835808,8.532623898,17.98039224,20.60832562,22.50860846,18.68538681,17.65600846,21.32723232,26.34877343,17.32412648,21.82861742
"Bahamas, The",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.339688933,6.484064653,6.770654629,7.466671342,6.471050707,6.237943564,7.735450715,9.736387494,10.40529437,12.04255459,11.3668494,10.84731206,9.356970363,10.43991184,11.60114824,12.64375156,12.30782671,12.18898033,12.3249348,11.30558842,11.83152593,12.27573958,13.22333794,15.39009999,17.87777499,19.76278535,20.37924982,20.49840082,20.23156653,20.84756094,20.03062778,18.66563774,18.71002283,18.21166738,18.81850195,20.85355003,21.39917929,22.04256265,22.77745089,22.9908513,25.45550498,30.90926983,33.69226572,35.30643889,36.44950382,45.10861259,47.02115641,49.15565415,51.63671887,54.3458058,61.61234968,60.47971305,85.19134803,89.43082711,83.66686161,79.6967723
Bahrain,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.263664782,0.294410221,0.515935562,0.978388185,2.15187281,2.156277315,6.867497097,6.391279365,6.64544708,6.872136916,6.958743832,6.042622991,10.59523314,11.38466174,14.50980173,14.954227,7.237170086,6.709117004,6.450473874,5.945851377,5.621716994,13.61988209,13.11711735,14.75572011,19.99528784,24.66848155,24.69513694,25.01289103,27.22178989,31.12874481,28.19803793,23.20728808,19.42601745,15.67863267,12.05067379,20.49174663,28.78721705,31.55371838,34.83277918,42.27004058,42.63014868,63.17987269,77.36628615,84.02871254,90.3844367,97.12932667,125.7003848,122.3001318,111.1161081,123.3202898
Bangladesh,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.476355984,10.00917746,8.252426315,12.97880342,16.79474564,16.10172965,14.09721515,16.30107654,18.35236901,21.69449756,23.81886427,21.94693834,24.2310023,27.95247346,30.48093419,29.98048973,29.03802576,31.48326987,31.75925149,33.13718877,34.0538494,35.48738359,32.88556406,31.03188191,29.06387401,31.11880496,32.66724561,31.19541407,37.07130225,38.90046024,37.04365091,36.5848308,35.55806222,35.3318359,34.98867407,33.86993323,33.009655,29.62265978,29.39301765,29.07802867,28.34399469,28.68266374,28.20581889,27.71982274,28.30601195,29.55290532,31.95137353,34.50938983,35.61443976,37.86259945,39.33660452
Barbados,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,23.09202263,22.13114869,25.25240658,30.0868847,26.8080464,20.93795771,23.53355134,28.24901172,27.69850865,25.46468512,24.22462247,26.9555226,28.08672289,28.96128516,28.81040326,31.64390777,34.78611034,36.95567561,38.39623988,36.37227388,41.70364462,43.03417073,45.78719557,46.91043237,55.02137932,55.89550202,56.12051677,56.91030302,50.53645737,50.10103105,56.60923455,62.60795213,66.0861264,66.56646148,66.47982564,68.19842986,69.79381093,69.0473167,72.63357079,88.52053138,96.038765,98.70339674,109.3521395,118.5587114,121.9950895,131.8883838,136.4528148,143.5755862,115.0156103,109.4740064,128.3858518,130.1797005,116.4041661,112.94418
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,31.52708293,50.83994114,10.34807609,10.10526045,15.65739008,12.28604295,10.26155884,10.92543464,10.52402849,10.06742955,8.616199015,7.981498098,8.48974398,11.10277725,12.4965127,21.42899094,22.4851325,46.91179196,30.315991,30.83601153,32.93696034,46.91417232,47.14787518,47.2145871,42.51382075,37.60482765,44.11934614,38.76906013,no data,no data
Belgium,64.99209749,65.5464826,69.45596217,62.65846427,63.31810092,65.51456748,62.89982453,59.85710509,60.8010285,65.36232164,66.43131395,64.92774029,63.17292883,61.77798582,59.76485112,56.48432935,53.36491048,52.06345405,52.62565855,52.02564884,48.29972101,44.7903939,45.09008255,43.06960625,40.78174207,39.42655215,40.23530033,41.03248593,43.95392376,47.33002591,52.43236913,62.07175818,72.55480804,82.42937543,87.84294895,95.03238052,100.0712514,104.1748079,105.6296326,103.7811417,104.2362848,106.7902228,108.9686612,115.4952456,112.6986987,116.6098094,114.050232,111.3691926,106.8668753,103.8744398,98.93242737,98.15612764,95.29706684,89.33360834,85.08860589,83.85547531,80.86612066,77.20382167,82.73848446,86.49418569,85.76664647,88.46736956,88.96976759,89.6113317,90.03558277,88.82606755,89.15005173,86.98393439,84.9649278,82.84831494,93.36491965,90.39848011,86.35905026,87.22739936
Belize,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.5697525,13.06665737,21.82350571,22.92117211,26.36724108,31.78533915,37.73105811,45.5708741,43.94087958,53.19803494,48.23450075,43.43552159,36.34922566,33.60528027,30.79858531,31.93145384,32.17230977,31.784301,32.3758448,36.71939053,39.41061854,40.71214915,40.33354988,43.68250317,78.999652,51.41847354,55.19284385,69.36449279,72.95080347,75.15873679,71.64936444,66.71555095,64.9111521,70.00091164,68.80703975,66.68257861,63.71691557,63.19667797,61.92337414,64.98722809,70.42594821,78.09395798,78.82015427,78.4950489,103.0436366,82.34621335,67.07906112,66.83331355
Benin,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.484157758,4.794190986,3.862034695,5.791177836,6.956439351,9.681961141,11.20555205,12.93189937,13.35929665,18.00180889,18.10500917,30.89076962,45.69671484,54.46228523,48.50662931,51.67777597,47.18212525,48.58123068,47.16510111,50.32773739,45.27147676,44.03165526,41.79541335,41.87636357,64.60732743,48.2531343,43.43114132,42.94127221,41.57058082,39.40892225,39.59194114,37.98651118,30.76804176,23.38085204,21.50953025,26.97813898,8.366122298,14.28590371,18.30665552,18.7476805,20.99976509,21.86041054,19.54020639,18.503746,22.28207466,30.90022983,35.92334976,39.59846316,41.0803507,41.22964235,46.14207668,50.28803642,54.18687209,54.53702374
Bhutan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.743900897,2.491273595,4.698048485,10.63924685,14.86443703,17.28716059,24.67415886,26.4428924,27.44789238,33.49818251,35.59144175,37.61441272,39.45368719,34.67893544,35.77647193,32.97732549,36.40101944,39.22870147,44.02945698,52.35230778,57.708072,68.49977372,76.03008546,80.83989709,80.12406564,67.25292709,60.56568305,61.03633768,56.45386982,63.62019309,72.80855515,93.90949394,91.19570587,91.54073206,109.107712,104.8283771,107.2947274,99.73690277,114.9389601,123.2762528,117.3441253,116.0648906
